Num,PaperLink,Plant_latin,Plant_Chinese,Plant_English,Order,Family,DownloadLink,Download,Version,,
27,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10027,Casuarina equisetifolia, 木麻黄, NA,Fagales,Casuarinaceae,,No,,网站打不开,
28,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10028,Catharanthus roseus, 长春花, madagascar periwinkle,Gentianales,Apocynaceae,http://mpgr.uga.edu/pub/data/MPGR/Catharanthus_roseus/,No,,没有注释文件,
29,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10029,Citrus grandis, 柚, pummelo,Sapindales,Rutaceae,http://citrus.hzau.edu.cn/download.php,Yes,HWB,,
30,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10030,Citrus medica, 香橼、枸橼, citron,Sapindales,Rutaceae,http://citrus.hzau.edu.cn/download.php,Yes,XZ,,
31,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10031,Citrus reticulata, 柑橘, mandarin,Sapindales,Rutaceae,http://citrus.hzau.edu.cn/download.php,Yes,MSYJ,,
32,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10032,Citrus sinensis, 甜橙, sweet orange,Sapindales,Rutaceae,http://citrus.hzau.edu.cn/download.php,Yes,V2,,
33,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10033,Citrus unshiu, 无核蜜橘, satsuma,Sapindales,Rutaceae,https://www.ncbi.nlm.nih.gov/genome/46555?genome_assembly_id=361165,Yes,CUMW_v1.0,,
34,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10034,Cocos nucifera, 椰子, coconut,Arecales,Arecaceae,http://gigadb.org/dataset/100347,Yes,,,
35,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10035,Coffea arabica, 小粒咖啡, arabian coffee,Gentianales,Rubiaceae,https://www.ncbi.nlm.nih.gov/genome/77?genome_assembly_id=418079,Yes,,,
36,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10036,Corchorus capsularis, 黄麻, roundpod jute,Malvales,Malvaceae,https://www.ncbi.nlm.nih.gov/genome/46591?genome_assembly_id=304137,Yes,CCACVL1_1.0,,
37,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10037,Corchorus olitorius, 长蒴黄麻, nalta jute,Malvales,Malvaceae,https://www.ncbi.nlm.nih.gov/genome/46639?genome_assembly_id=304138,Yes,COLO4_1.0,,
38,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10038,Coriandrum sativum, 芫荽, cilantro,Apiales,Apiaceae,http://cgdb.bio2db.com/Download/,Yes,,,
39,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10039,Cucumis melo, 甜瓜, melo,Cucurbitales,Cucurbitaceae,https://www.ncbi.nlm.nih.gov/genome/10697?genome_assembly_id=39592,Yes,,,
